Lead City,Sales Date,Sales Week,Leads Created,Leads accepted,Qualify_Confirm_Lead,Select_Partner,Install_Request,Installed
City 1,7/5/19,6/5/19,19,18,3,3,3,4
City 1,7/5/19,6/5/19,195,183,41,33,31,25
City 1,7/5/19,6/5/19,40,34,10,4,5,2
City 1,8/5/19,6/5/19,4,3,2,1,0,0
City 1,8/5/19,6/5/19,162,150,40,25,24,20
City 1,8/5/19,6/5/19,89,78,21,15,15,15
City 1,9/5/19,6/5/19,0,0,1,2,1,1
City 1,9/5/19,6/5/19,215,200,43,35,35,27
City 1,9/5/19,6/5/19,21,14,12,7,6,7
City 1,10/5/19,6/5/19,2,1,1,1,1,1
City 1,10/5/19,6/5/19,212,202,40,28,28,26
City 1,10/5/19,6/5/19,35,35,14,11,8,7
City 1,11/5/19,6/5/19,1,1,1,1,1,1
City 1,11/5/19,6/5/19,157,148,52,49,47,35
City 1,11/5/19,6/5/19,18,13,12,6,6,4
City 1,12/5/19,6/5/19,2,2,2,2,2,3
City 1,12/5/19,6/5/19,273,263,60,47,46,50
City 1,12/5/19,6/5/19,20,15,14,14,15,16
City 1,13-05-2019,13-05-2019,1,1,1,0,0,0
City 1,13-05-2019,13-05-2019,85,70,30,21,21,17
City 1,13-05-2019,13-05-2019,9,7,6,4,4,4
City 1,14-05-2019,13-05-2019,251,241,30,28,27,17
City 1,14-05-2019,13-05-2019,23,12,7,5,5,5
City 1,15-05-2019,13-05-2019,3,3,3,3,3,2
City 1,15-05-2019,13-05-2019,217,199,34,30,30,26
City 1,15-05-2019,13-05-2019,22,17,16,9,9,9
City 1,16-05-2019,13-05-2019,2,1,1,1,1,2
City 1,16-05-2019,13-05-2019,253,241,29,21,19,23
City 1,16-05-2019,13-05-2019,28,17,9,7,6,3
City 1,17-05-2019,13-05-2019,1,1,1,1,1,1
City 1,17-05-2019,13-05-2019,140,123,38,28,27,26
City 1,17-05-2019,13-05-2019,20,16,16,10,8,8
City 1,18-05-2019,13-05-2019,1,1,1,1,1,1
City 1,18-05-2019,13-05-2019,300,268,72,65,64,30
City 1,18-05-2019,13-05-2019,53,42,22,16,16,11
City 1,19-05-2019,13-05-2019,5,5,3,2,2,2
City 1,19-05-2019,13-05-2019,334,314,49,38,37,48
City 1,19-05-2019,13-05-2019,40,27,25,18,16,18
City 1,20-05-2019,20-05-2019,3,2,2,3,3,0
City 1,20-05-2019,20-05-2019,132,117,48,40,39,22
City 1,20-05-2019,20-05-2019,21,18,17,11,7,1
City 1,21-05-2019,20-05-2019,4,4,4,4,2,2
City 1,21-05-2019,20-05-2019,156,141,43,36,35,26
City 1,21-05-2019,20-05-2019,30,21,12,6,9,8
City 1,22-05-2019,20-05-2019,111,96,41,32,30,27
City 1,22-05-2019,20-05-2019,28,18,16,11,10,5
City 1,23-05-2019,20-05-2019,3,2,2,2,2,2
City 1,23-05-2019,20-05-2019,183,164,37,30,28,25
City 1,23-05-2019,20-05-2019,22,9,6,7,6,7
City 1,24-05-2019,20-05-2019,223,210,35,28,28,24
City 1,24-05-2019,20-05-2019,20,19,17,10,9,11
City 1,25-05-2019,20-05-2019,1,1,1,1,1,1
City 1,25-05-2019,20-05-2019,220,207,66,51,51,45
City 1,25-05-2019,20-05-2019,40,27,19,13,11,8
City 1,26-05-2019,20-05-2019,380,360,62,50,49,50
City 1,26-05-2019,20-05-2019,29,21,22,15,14,10
City 1,27-05-2019,27-05-2019,191,180,44,41,40,29
City 1,27-05-2019,27-05-2019,17,14,13,5,4,4
City 1,28-05-2019,27-05-2019,194,180,30,25,26,27
City 1,28-05-2019,27-05-2019,33,25,10,6,5,6
City 1,29-05-2019,27-05-2019,267,257,35,29,28,25
City 1,29-05-2019,27-05-2019,19,16,11,5,6,6
City 1,30-05-2019,27-05-2019,1,0,0,0,0,0
City 1,30-05-2019,27-05-2019,221,202,46,39,39,26
City 1,30-05-2019,27-05-2019,14,13,9,5,5,2
City 1,31-05-2019,27-05-2019,270,261,51,38,37,30
City 1,31-05-2019,27-05-2019,12,9,9,7,8,7
City 1,1/6/19,27-05-2019,6,6,3,3,3,3
City 1,1/6/19,27-05-2019,146,138,65,59,58,42
City 1,1/6/19,27-05-2019,22,16,14,14,14,12
City 1,2/6/19,27-05-2019,1,1,2,0,0,0
City 1,2/6/19,27-05-2019,206,187,63,57,57,69
City 1,2/6/19,27-05-2019,36,27,22,16,16,10
City 1,3/6/19,3/6/19,160,146,38,30,29,24
City 1,3/6/19,3/6/19,25,19,17,7,6,8
City 1,4/6/19,3/6/19,181,165,38,37,37,25
City 1,4/6/19,3/6/19,27,18,16,14,15,8
City 1,5/6/19,3/6/19,3,2,2,2,0,0
City 1,5/6/19,3/6/19,151,136,63,48,47,36
City 1,5/6/19,3/6/19,27,19,19,10,10,11
City 1,6/6/19,3/6/19,2,2,2,2,3,1
City 1,6/6/19,3/6/19,123,105,37,28,29,33
City 1,6/6/19,3/6/19,30,16,13,8,8,5
City 1,7/6/19,3/6/19,2,2,2,2,2,1
City 1,7/6/19,3/6/19,275,246,42,31,30,26
City 1,7/6/19,3/6/19,19,12,14,7,7,6
City 1,8/6/19,3/6/19,2,2,2,2,2,2
City 1,8/6/19,3/6/19,230,207,65,54,52,33
City 1,8/6/19,3/6/19,32,21,20,13,11,14
City 1,9/6/19,3/6/19,4,2,2,2,2,3
City 1,9/6/19,3/6/19,163,150,71,64,64,70
City 1,9/6/19,3/6/19,38,31,30,16,17,15
City 1,10/6/19,10/6/19,102,95,42,36,33,22
City 1,10/6/19,10/6/19,16,10,10,8,8,9
City 1,11/6/19,10/6/19,3,3,3,3,2,2
City 1,11/6/19,10/6/19,164,159,51,42,42,36
City 1,11/6/19,10/6/19,24,15,12,10,9,5
City 1,12/6/19,10/6/19,3,3,3,3,3,2
City 1,12/6/19,10/6/19,199,185,43,35,33,29
City 1,12/6/19,10/6/19,15,10,11,8,7,6
City 1,13-06-2019,10/6/19,0,0,0,0,1,1
City 1,13-06-2019,10/6/19,173,164,36,32,31,24
City 1,13-06-2019,10/6/19,19,16,14,7,7,7
City 1,14-06-2019,10/6/19,0,0,0,0,0,1
City 1,14-06-2019,10/6/19,299,285,43,40,39,31
City 1,14-06-2019,10/6/19,24,17,15,13,12,8
City 1,15-06-2019,10/6/19,1,1,1,1,1,1
City 1,15-06-2019,10/6/19,340,318,70,65,64,46
City 1,15-06-2019,10/6/19,21,13,12,7,8,12
City 1,16-06-2019,10/6/19,1,1,1,1,1,1
City 1,16-06-2019,10/6/19,212,201,54,50,52,69
City 1,16-06-2019,10/6/19,12,9,8,6,6,8
City 1,17-06-2019,17-06-2019,2,2,2,2,2,2
City 1,17-06-2019,17-06-2019,184,170,39,30,29,22
City 1,17-06-2019,17-06-2019,18,15,14,10,8,4
City 1,18-06-2019,17-06-2019,2,2,2,2,2,1
City 1,18-06-2019,17-06-2019,214,202,51,44,44,23
City 1,18-06-2019,17-06-2019,14,10,8,3,3,4
City 1,19-06-2019,17-06-2019,43,42,1,1,1,1
City 1,19-06-2019,17-06-2019,225,213,44,37,37,37
City 1,19-06-2019,17-06-2019,33,24,9,5,5,5
City 1,20-06-2019,17-06-2019,15,12,1,1,0,0
City 1,20-06-2019,17-06-2019,269,253,56,50,49,31
City 1,20-06-2019,17-06-2019,32,21,10,6,6,5
City 1,21-06-2019,17-06-2019,239,230,47,38,38,37
City 1,21-06-2019,17-06-2019,24,15,14,9,7,7
City 1,22-06-2019,17-06-2019,41,37,1,1,1,1
City 1,22-06-2019,17-06-2019,262,248,51,39,39,42
City 1,22-06-2019,17-06-2019,32,22,18,12,10,5
City 1,23-06-2019,17-06-2019,29,28,4,2,3,3
City 1,23-06-2019,17-06-2019,257,243,58,48,47,52
City 1,23-06-2019,17-06-2019,33,21,19,14,13,17
City 1,24-06-2019,24-06-2019,29,27,0,0,0,0
City 1,24-06-2019,24-06-2019,171,146,38,29,27,19
City 1,24-06-2019,24-06-2019,26,12,12,4,4,2
City 1,25-06-2019,24-06-2019,19,19,1,1,1,1
City 1,25-06-2019,24-06-2019,276,256,45,34,33,38
City 1,25-06-2019,24-06-2019,29,17,17,10,10,7
City 1,26-06-2019,24-06-2019,13,13,1,1,1,0
City 1,26-06-2019,24-06-2019,268,250,47,39,38,34
City 1,26-06-2019,24-06-2019,28,17,13,4,4,9
City 1,27-06-2019,24-06-2019,12,12,0,0,0,1
City 1,27-06-2019,24-06-2019,261,244,35,26,25,23
City 1,27-06-2019,24-06-2019,37,21,18,11,8,4
City 1,28-06-2019,24-06-2019,16,16,4,4,4,3
City 1,28-06-2019,24-06-2019,260,240,57,48,46,29
City 1,28-06-2019,24-06-2019,15,13,15,4,6,4
City 1,29-06-2019,24-06-2019,2,2,2,2,2,1
City 1,29-06-2019,24-06-2019,173,157,53,45,40,39
City 1,29-06-2019,24-06-2019,44,21,19,17,16,15
City 1,30-06-2019,24-06-2019,10,10,2,2,1,3
City 1,30-06-2019,24-06-2019,204,191,77,72,70,74
City 1,30-06-2019,24-06-2019,25,19,17,12,12,11
City 1,1/7/19,1/7/19,21,21,2,2,2,1
City 1,1/7/19,1/7/19,152,133,38,33,31,28
City 1,1/7/19,1/7/19,20,15,14,9,9,7
City 1,2/7/19,1/7/19,20,20,2,2,2,2
City 1,2/7/19,1/7/19,137,131,56,42,36,33
City 1,2/7/19,1/7/19,32,22,18,7,7,7
City 1,3/7/19,1/7/19,13,12,2,2,2,1
City 1,3/7/19,1/7/19,170,159,26,24,23,28
City 1,3/7/19,1/7/19,27,13,12,9,7,9
City 1,4/7/19,1/7/19,1,1,1,1,1,1
City 1,4/7/19,1/7/19,157,148,47,38,35,27
City 1,4/7/19,1/7/19,37,30,15,7,6,4
City 1,5/7/19,1/7/19,25,23,3,3,3,2
City 1,5/7/19,1/7/19,190,175,52,45,43,33
City 1,5/7/19,1/7/19,27,18,16,12,13,8
City 1,6/7/19,1/7/19,32,30,9,7,6,5
City 1,6/7/19,1/7/19,171,155,66,52,49,45
City 1,6/7/19,1/7/19,33,26,24,17,16,9
City 1,7/7/19,1/7/19,15,14,5,4,4,7
City 1,7/7/19,1/7/19,155,150,74,65,63,70
City 1,7/7/19,1/7/19,35,28,25,12,11,16
City 1,8/7/19,8/7/19,31,31,5,5,5,4
City 1,8/7/19,8/7/19,121,113,46,31,31,20
City 1,8/7/19,8/7/19,31,26,18,8,7,2
City 1,9/7/19,8/7/19,36,35,6,6,6,5
City 1,9/7/19,8/7/19,122,104,55,50,47,31
City 1,9/7/19,8/7/19,32,21,19,13,12,16
City 1,10/7/19,8/7/19,20,17,5,5,5,5
City 1,10/7/19,8/7/19,124,103,48,37,37,38
City 1,10/7/19,8/7/19,30,15,14,7,7,7
City 1,11/7/19,8/7/19,20,21,5,4,4,4
City 1,11/7/19,8/7/19,204,164,36,31,34,33
City 1,11/7/19,8/7/19,33,11,9,7,7,5
City 1,12/7/19,8/7/19,4,4,1,1,1,2
City 1,12/7/19,8/7/19,207,185,57,48,42,37
City 1,12/7/19,8/7/19,28,14,14,3,3,7
City 1,13-07-2019,8/7/19,32,31,6,5,5,4
City 1,13-07-2019,8/7/19,173,155,81,65,62,45
City 1,13-07-2019,8/7/19,43,25,18,10,8,8
City 1,14-07-2019,8/7/19,23,23,5,5,6,6
City 1,14-07-2019,8/7/19,180,164,62,50,46,72
City 1,14-07-2019,8/7/19,28,22,19,10,9,11
City 1,15-07-2019,15-07-2019,6,5,5,5,5,5
City 1,15-07-2019,15-07-2019,93,81,31,20,21,14
City 1,15-07-2019,15-07-2019,30,17,16,8,7,2
City 1,16-07-2019,15-07-2019,23,23,5,5,5,5
City 1,16-07-2019,15-07-2019,143,133,48,39,39,32
City 1,16-07-2019,15-07-2019,20,11,10,3,4,3
City 1,17-07-2019,15-07-2019,33,32,4,1,1,0
City 1,17-07-2019,15-07-2019,196,170,47,39,36,24
City 1,17-07-2019,15-07-2019,38,16,16,5,3,4
City 1,18-07-2019,15-07-2019,21,21,1,2,2,2
City 1,18-07-2019,15-07-2019,180,160,33,27,24,25
City 1,18-07-2019,15-07-2019,31,14,14,4,5,1
City 1,19-07-2019,15-07-2019,28,28,2,2,2,3
City 1,19-07-2019,15-07-2019,169,156,54,38,37,25
City 1,19-07-2019,15-07-2019,27,18,18,5,5,5
City 1,20-07-2019,15-07-2019,16,16,2,2,2,2
City 1,20-07-2019,15-07-2019,197,182,58,47,46,33
City 1,20-07-2019,15-07-2019,39,21,19,12,8,8
City 1,21-07-2019,15-07-2019,6,6,1,0,0,0
City 1,21-07-2019,15-07-2019,154,137,53,47,47,65
City 1,21-07-2019,15-07-2019,39,25,24,16,16,11
City 1,22-07-2019,22-07-2019,9,7,2,2,2,1
City 1,22-07-2019,22-07-2019,151,140,48,39,31,24
City 1,22-07-2019,22-07-2019,22,13,12,4,3,5
City 1,23-07-2019,22-07-2019,14,11,7,4,3,4
City 1,23-07-2019,22-07-2019,159,139,46,41,42,28
City 1,23-07-2019,22-07-2019,26,26,22,6,5,8
City 1,24-07-2019,22-07-2019,8,7,2,1,1,1
City 1,24-07-2019,22-07-2019,122,108,47,41,37,36
City 1,24-07-2019,22-07-2019,24,15,12,5,5,6
City 1,25-07-2019,22-07-2019,8,8,3,3,2,0
City 1,25-07-2019,22-07-2019,201,191,63,46,45,34
City 1,25-07-2019,22-07-2019,15,15,14,2,1,3
City 1,26-07-2019,22-07-2019,11,11,1,1,1,2
City 1,26-07-2019,22-07-2019,129,119,57,44,43,33
City 1,26-07-2019,22-07-2019,22,14,11,3,4,3
City 1,27-07-2019,22-07-2019,2,2,2,2,2,1
City 1,27-07-2019,22-07-2019,157,143,75,67,67,44
City 1,27-07-2019,22-07-2019,31,18,18,13,10,5
City 1,28-07-2019,22-07-2019,15,14,3,3,3,5
City 1,28-07-2019,22-07-2019,148,130,66,55,53,84
City 1,28-07-2019,22-07-2019,27,16,14,15,16,17
City 1,29-07-2019,29-07-2019,2,2,2,2,2,2
City 1,29-07-2019,29-07-2019,99,80,40,37,38,33
City 1,29-07-2019,29-07-2019,20,14,14,6,6,1
City 1,30-07-2019,29-07-2019,184,152,42,40,29,27
City 1,30-07-2019,29-07-2019,29,17,15,12,12,9
City 1,31-07-2019,29-07-2019,13,13,2,2,2,1
City 1,31-07-2019,29-07-2019,146,140,70,57,55,40
City 1,31-07-2019,29-07-2019,34,25,25,13,12,11
City 1,1/8/19,29-07-2019,4,4,4,4,4,4
City 1,1/8/19,29-07-2019,158,146,65,61,59,48
City 1,1/8/19,29-07-2019,30,19,19,13,14,13
City 1,2/8/19,29-07-2019,8,8,3,2,2,3
City 1,2/8/19,29-07-2019,133,110,51,46,44,41
City 1,2/8/19,29-07-2019,41,22,19,10,8,7
City 1,3/8/19,29-07-2019,6,6,1,0,0,0
City 1,3/8/19,29-07-2019,186,152,100,93,94,67
City 1,3/8/19,29-07-2019,31,20,19,8,9,9
City 1,4/8/19,29-07-2019,8,8,7,6,6,6
City 1,4/8/19,29-07-2019,155,129,97,94,95,109
City 1,4/8/19,29-07-2019,34,20,21,14,14,18
City 1,5/8/19,5/8/19,110,92,58,44,40,40
City 1,5/8/19,5/8/19,46,26,26,13,10,3
City 1,6/8/19,5/8/19,3,3,3,3,3,2
City 1,6/8/19,5/8/19,66,50,38,32,32,16
City 1,6/8/19,5/8/19,34,22,21,14,13,6
City 1,7/8/19,5/8/19,6,5,5,5,4,5
City 1,7/8/19,5/8/19,157,140,53,41,40,42
City 1,7/8/19,5/8/19,34,29,30,16,14,13
City 1,8/8/19,5/8/19,10,10,5,4,4,4
City 1,8/8/19,5/8/19,183,155,64,49,48,44
City 1,8/8/19,5/8/19,30,15,15,11,10,12
City 1,9/8/19,5/8/19,4,4,3,2,2,2
City 1,9/8/19,5/8/19,231,193,55,42,41,44
City 1,9/8/19,5/8/19,38,23,21,10,10,11
City 1,10/8/19,5/8/19,6,6,6,6,6,4
City 1,10/8/19,5/8/19,192,152,80,69,67,51
City 1,10/8/19,5/8/19,51,33,32,21,21,21
City 1,11/8/19,5/8/19,4,4,4,4,4,3
City 1,11/8/19,5/8/19,243,204,95,86,83,95
City 1,11/8/19,5/8/19,59,30,29,22,22,25
City 1,12/8/19,12/8/19,1,1,1,1,1,1
City 1,12/8/19,12/8/19,162,133,67,51,51,36
City 1,12/8/19,12/8/19,49,29,29,9,9,8
City 1,13-08-2019,12/8/19,1,1,1,1,1,1
City 1,13-08-2019,12/8/19,93,76,36,26,26,31
City 1,13-08-2019,12/8/19,34,19,19,9,7,5
City 1,14-08-2019,12/8/19,2,2,2,2,2,1
City 1,14-08-2019,12/8/19,79,72,42,28,29,34
City 1,14-08-2019,12/8/19,20,10,10,5,6,5
City 1,15-08-2019,12/8/19,1,1,1,1,1,0
City 1,15-08-2019,12/8/19,23,12,9,5,3,6
City 1,15-08-2019,12/8/19,15,11,11,2,2,0
City 1,16-08-2019,12/8/19,1,1,1,1,1,2
City 1,16-08-2019,12/8/19,108,82,47,43,37,21
City 1,16-08-2019,12/8/19,28,14,13,6,5,1
City 1,17-08-2019,12/8/19,5,4,4,4,4,4
City 1,17-08-2019,12/8/19,141,123,55,44,42,37
City 1,17-08-2019,12/8/19,26,16,16,10,9,9
City 1,18-08-2019,12/8/19,4,4,4,4,4,4
City 1,18-08-2019,12/8/19,183,159,50,49,49,60
City 1,18-08-2019,12/8/19,30,16,14,12,11,15
City 1,19-08-2019,19-08-2019,4,4,4,4,4,3
City 1,19-08-2019,19-08-2019,124,110,42,32,34,25
City 1,19-08-2019,19-08-2019,32,17,16,9,8,8
City 1,20-08-2019,19-08-2019,2,2,2,1,1,4
City 1,20-08-2019,19-08-2019,199,170,54,46,43,37
City 1,20-08-2019,19-08-2019,17,12,11,11,13,10
City 1,21-08-2019,19-08-2019,14,8,5,3,3,0
City 1,21-08-2019,19-08-2019,235,210,55,45,45,42
City 1,21-08-2019,19-08-2019,25,15,13,10,11,9
City 1,22-08-2019,19-08-2019,12,12,1,1,1,0
City 1,22-08-2019,19-08-2019,275,246,51,45,44,43
City 1,22-08-2019,19-08-2019,32,16,16,12,11,10
City 1,23-08-2019,19-08-2019,17,15,5,5,4,6
City 1,23-08-2019,19-08-2019,175,159,57,52,50,42
City 1,23-08-2019,19-08-2019,15,9,9,8,7,4
City 1,24-08-2019,19-08-2019,6,6,6,5,5,3
City 1,24-08-2019,19-08-2019,197,167,68,62,63,50
City 1,24-08-2019,19-08-2019,33,26,26,16,15,12
City 1,25-08-2019,19-08-2019,7,7,4,5,4,3
City 1,25-08-2019,19-08-2019,144,118,81,76,71,68
City 1,25-08-2019,19-08-2019,26,20,16,12,13,14
City 1,26-08-2019,26-08-2019,5,2,1,1,1,1
City 1,26-08-2019,26-08-2019,198,165,51,34,31,41
City 1,26-08-2019,26-08-2019,55,21,20,9,8,8
City 1,27-08-2019,26-08-2019,4,4,4,4,4,2
City 1,27-08-2019,26-08-2019,215,193,51,40,37,29
City 1,27-08-2019,26-08-2019,27,17,16,8,7,5
City 1,28-08-2019,26-08-2019,3,3,3,2,2,2
City 1,28-08-2019,26-08-2019,193,174,49,38,33,28
City 1,28-08-2019,26-08-2019,34,32,24,13,10,5
City 1,29-08-2019,26-08-2019,8,7,7,7,7,7
City 1,29-08-2019,26-08-2019,194,174,46,38,37,46
City 1,29-08-2019,26-08-2019,18,10,10,13,13,10
City 1,30-08-2019,26-08-2019,5,4,4,3,3,2
City 1,30-08-2019,26-08-2019,194,172,68,57,58,42
City 1,30-08-2019,26-08-2019,37,31,25,17,15,11
City 1,31-08-2019,26-08-2019,16,13,12,11,10,6
City 1,31-08-2019,26-08-2019,204,182,84,80,77,63
City 1,31-08-2019,26-08-2019,46,31,22,15,16,14
City 1,1/9/19,26-08-2019,8,7,7,7,9,9
City 1,1/9/19,26-08-2019,173,155,82,79,74,88
City 1,1/9/19,26-08-2019,27,18,17,15,14,22
City 1,2/9/19,2/9/19,3,3,3,3,3,3
City 1,2/9/19,2/9/19,118,93,37,36,36,26
City 1,2/9/19,2/9/19,44,26,24,17,15,9
City 1,3/9/19,2/9/19,4,4,4,4,4,5
City 1,3/9/19,2/9/19,135,122,43,30,29,23
City 1,3/9/19,2/9/19,39,23,21,13,13,14
City 1,4/9/19,2/9/19,10,10,10,10,9,7
City 1,4/9/19,2/9/19,114,101,45,41,40,32
City 1,4/9/19,2/9/19,48,36,26,9,8,8
City 1,5/9/19,2/9/19,1,1,1,1,2,5
City 1,5/9/19,2/9/19,155,131,41,33,30,37
City 1,5/9/19,2/9/19,29,25,21,10,7,10
City 1,6/9/19,2/9/19,5,4,4,4,4,4
City 1,6/9/19,2/9/19,221,197,55,38,36,27
City 1,6/9/19,2/9/19,30,23,20,14,9,4
City 1,7/9/19,2/9/19,10,8,8,8,8,4
City 1,7/9/19,2/9/19,233,198,74,67,66,46
City 1,7/9/19,2/9/19,41,19,19,11,12,10
City 1,8/9/19,2/9/19,7,6,6,6,6,8
City 1,8/9/19,2/9/19,217,189,80,72,71,82
City 1,8/9/19,2/9/19,53,29,25,16,15,14
City 1,9/9/19,9/9/19,3,3,3,3,2,3
City 1,9/9/19,9/9/19,157,143,50,31,28,25
City 1,9/9/19,9/9/19,43,34,22,9,10,11
City 1,10/9/19,9/9/19,5,4,4,4,4,4
City 1,10/9/19,9/9/19,255,250,62,50,44,33
City 1,10/9/19,9/9/19,36,29,27,13,12,10
City 1,11/9/19,9/9/19,8,8,7,6,1,1
City 1,11/9/19,9/9/19,280,260,50,36,37,25
City 1,11/9/19,9/9/19,28,17,17,10,8,12
City 1,12/9/19,9/9/19,4,3,3,3,3,2
City 1,12/9/19,9/9/19,266,240,58,53,52,40
City 1,12/9/19,9/9/19,30,26,23,9,10,6
City 1,13-09-2019,9/9/19,4,4,3,3,3,2
City 1,13-09-2019,9/9/19,254,227,52,41,37,45
City 1,13-09-2019,9/9/19,30,21,20,12,10,7
City 1,14-09-2019,9/9/19,3,3,3,3,3,4
City 1,14-09-2019,9/9/19,267,236,75,67,64,54
City 1,14-09-2019,9/9/19,36,23,20,15,14,13
City 1,15-09-2019,9/9/19,9,9,9,9,8,8
City 1,15-09-2019,9/9/19,206,182,93,82,82,111
City 1,15-09-2019,9/9/19,37,21,21,16,13,21
City 1,16-09-2019,16-09-2019,4,4,4,4,2,3
City 1,16-09-2019,16-09-2019,121,99,43,36,32,25
City 1,16-09-2019,16-09-2019,31,19,17,10,4,1
City 1,17-09-2019,16-09-2019,3,3,3,3,4,3
City 1,17-09-2019,16-09-2019,158,148,41,27,29,20
City 1,17-09-2019,16-09-2019,33,29,25,13,14,12
City 1,18-09-2019,16-09-2019,4,4,3,3,4,3
City 1,18-09-2019,16-09-2019,270,249,44,35,33,31
City 1,18-09-2019,16-09-2019,35,22,21,12,9,9
City 1,19-09-2019,16-09-2019,3,3,3,3,3,3
City 1,19-09-2019,16-09-2019,190,176,44,30,24,31
City 1,19-09-2019,16-09-2019,37,19,20,14,13,13
City 1,20-09-2019,16-09-2019,3,3,3,3,3,3
City 1,20-09-2019,16-09-2019,221,200,35,32,32,23
City 1,20-09-2019,16-09-2019,55,32,31,22,17,8
City 1,21-09-2019,16-09-2019,3,3,2,2,2,2
City 1,21-09-2019,16-09-2019,201,171,65,53,50,33
City 1,21-09-2019,16-09-2019,32,17,14,12,11,10
City 1,22-09-2019,16-09-2019,6,6,6,6,6,7
City 1,22-09-2019,16-09-2019,245,219,72,60,63,74
City 1,22-09-2019,16-09-2019,37,28,26,17,17,19
City 1,23-09-2019,23-09-2019,1,1,1,1,1,2
City 1,23-09-2019,23-09-2019,178,156,35,25,24,16
City 1,23-09-2019,23-09-2019,23,12,12,11,9,5
City 1,24-09-2019,23-09-2019,3,3,3,3,3,2
City 1,24-09-2019,23-09-2019,210,194,36,30,27,25
City 1,24-09-2019,23-09-2019,32,21,17,9,10,11
City 1,25-09-2019,23-09-2019,10,9,9,9,9,8
City 1,25-09-2019,23-09-2019,261,243,40,34,35,28
City 1,25-09-2019,23-09-2019,25,21,21,7,6,7
City 1,26-09-2019,23-09-2019,29,28,3,3,3,2
City 1,26-09-2019,23-09-2019,201,188,45,26,25,22
City 1,26-09-2019,23-09-2019,31,22,18,14,13,7
City 1,27-09-2019,23-09-2019,5,5,3,3,3,3
City 1,27-09-2019,23-09-2019,324,298,48,39,39,37
City 1,27-09-2019,23-09-2019,37,27,22,12,11,10
City 1,28-09-2019,23-09-2019,8,8,6,6,4,2
City 1,28-09-2019,23-09-2019,185,174,67,60,54,40
City 1,28-09-2019,23-09-2019,37,23,21,15,12,14
City 1,29-09-2019,23-09-2019,8,8,7,6,6,9
City 1,29-09-2019,23-09-2019,201,174,61,52,49,62
City 1,29-09-2019,23-09-2019,37,23,22,18,14,13
City 1,30-09-2019,30-09-2019,1,0,0,0,0,0
City 1,30-09-2019,30-09-2019,181,159,47,39,39,28
City 1,30-09-2019,30-09-2019,30,26,25,12,14,14
City 1,1/10/19,30-09-2019,8,6,6,6,6,4
City 1,1/10/19,30-09-2019,302,293,55,48,45,35
City 1,1/10/19,30-09-2019,40,36,21,13,13,10
City 1,2/10/19,30-09-2019,7,6,6,4,4,2
City 1,2/10/19,30-09-2019,304,276,91,81,77,67
City 1,2/10/19,30-09-2019,45,35,32,22,19,20
City 1,3/10/19,30-09-2019,6,6,6,6,6,3
City 1,3/10/19,30-09-2019,203,191,52,44,46,28
City 1,3/10/19,30-09-2019,30,30,29,16,15,14
City 1,4/10/19,30-09-2019,4,4,4,4,4,6
City 1,4/10/19,30-09-2019,217,203,51,44,40,45
City 1,4/10/19,30-09-2019,27,19,19,11,8,5
City 1,5/10/19,30-09-2019,4,4,4,4,4,5
City 1,5/10/19,30-09-2019,214,202,61,50,50,43
City 1,5/10/19,30-09-2019,28,19,18,13,15,17
City 1,6/10/19,30-09-2019,7,7,8,8,8,7
City 1,6/10/19,30-09-2019,425,400,61,53,49,63
City 1,6/10/19,30-09-2019,34,28,27,16,13,12
City 1,7/10/19,7/10/19,5,5,4,3,3,3
City 1,7/10/19,7/10/19,122,113,47,37,39,28
City 1,7/10/19,7/10/19,16,13,13,6,4,4
City 1,8/10/19,7/10/19,3,3,3,3,3,2
City 1,8/10/19,7/10/19,108,98,47,44,40,34
City 1,8/10/19,7/10/19,26,22,20,13,11,6
City 1,9/10/19,7/10/19,3,3,3,3,3,5
City 1,9/10/19,7/10/19,179,159,40,34,35,36
City 1,9/10/19,7/10/19,22,13,11,9,9,8
City 1,10/10/19,7/10/19,7,6,5,4,4,5
City 1,10/10/19,7/10/19,247,229,50,40,37,34
City 1,10/10/19,7/10/19,41,31,24,16,16,8
City 1,11/10/19,7/10/19,0,0,0,0,0,1
City 1,11/10/19,7/10/19,383,371,38,31,31,36
City 1,11/10/19,7/10/19,23,22,19,12,11,12
City 1,12/10/19,7/10/19,4,4,4,3,3,3
City 1,12/10/19,7/10/19,249,233,70,64,63,44
City 1,12/10/19,7/10/19,35,31,30,19,16,8
City 1,13-10-2019,7/10/19,8,6,6,6,6,5
City 1,13-10-2019,7/10/19,532,505,65,60,54,66
City 1,13-10-2019,7/10/19,30,24,23,18,15,25
City 1,14-10-2019,14-10-2019,2,2,2,2,2,1
City 1,14-10-2019,14-10-2019,165,150,35,34,33,22
City 1,14-10-2019,14-10-2019,17,5,5,2,2,2
City 1,15-10-2019,14-10-2019,5,5,5,5,5,4
City 1,15-10-2019,14-10-2019,208,187,38,37,37,37
City 1,15-10-2019,14-10-2019,27,13,10,6,5,3
City 1,16-10-2019,14-10-2019,6,6,6,6,6,5
City 1,16-10-2019,14-10-2019,302,278,60,50,49,41
City 1,16-10-2019,14-10-2019,30,20,14,8,10,11
City 1,17-10-2019,14-10-2019,43,43,2,2,1,3
City 1,17-10-2019,14-10-2019,279,258,54,45,46,44
